Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
藤竹草	Panicum sarmentosum Roxb.\nPOACEAE(禾本科)
細柄黍	Panicum sumatrense Roth ex Roem. & Schult.\nPOACEAE(禾本科)
類雀稗	Paspalidium punctatum (Burm. f.) A. Camus\nPOACEAE(禾本科)
台灣雀稗	Paspalum commersonii Lam.\nPOACEAE(禾本科)
兩耳草	Paspalum conjugatum Bergius\nPOACEAE(禾本科)
毛花雀稗	Paspalum dilatatum Poir.\nPOACEAE(禾本科)
雙穗雀稗	Paspalum distichum L.\nPOACEAE(禾本科)
裂穎雀稗	Paspalum fimbriatum Kunth\nPOACEAE(禾本科)
長葉雀稗	Paspalum longifolium Roxb.\nPOACEAE(禾本科)
圓果雀稗	Paspalum orbiculare G. Forst.\nPOACEAE(禾本科)
鴨姆草	Paspalum scrobiculatum L.\nPOACEAE(禾本科)
雀稗	Paspalum thunbergii Kunth ex Steud.\nPOACEAE(禾本科)
吳氏雀稗	Paspalum urvillei Steud.\nPOACEAE(禾本科)
海雀稗	Paspalum vaginatum Sw.\nPOACEAE(禾本科)
粗桿雀稗	Paspalum virgatum L.\nPOACEAE(禾本科)
多穗雀稗	Paspalum paniculatum L.\nPOACEAE(禾本科)
狼尾草	Pennisetum alopecuroides (L.) Spreng.\nPOACEAE(禾本科)
舖地狼尾草	Pennisetum cladestinum Hochst. ex Chiov.\nPOACEAE(禾本科)
象草	Pennisetum purpureum Schumach.\nPOACEAE(禾本科)
牧地狼尾草	Pennisetum polystachion (L.) Schult.\nPOACEAE(禾本科)
茅根	Perotis indica (L.) O. Kuntze.\nPOACEAE(禾本科)
大穗茅根	Perotis macrantha Honda\nPOACEAE(禾本科)
顯子草	Phaenosperma globosa Munro ex Benth.\nPOACEAE(禾本科)
鷸草	Phalaris arundinacea L.\nPOACEAE(禾本科)
高山梯牧草	Phleum alpinum L.\nPOACEAE(禾本科)
蘆葦	Phragmites australis (Cav.) Trin ex Steud.\nPOACEAE(禾本科)
開卡蘆	Phragmites vallatoria (Pluk. ex L.) Veldkamp\nPOACEAE(禾本科)
布袋竹	Phyllostachys aurea Carr. ex A. & C. Riviere\nPOACEAE(禾本科)
剛竹	Phyllostachys bambusoides Siebold & Zucc.\nPOACEAE(禾本科)
石竹	Phyllostachys lithophila Hayata\nPOACEAE(禾本科)
桂竹	Phyllostachys makinoi Hayata\nPOACEAE(禾本科)
黑竹	Phyllostachys nigra (Lodd.) Munro\nPOACEAE(禾本科)
孟宗竹	Phyllostachys pubescens E. Mazel ex H. de Leh.\nPOACEAE(禾本科)
白頂早熟禾	Poa acroleuca Steud.\nPOACEAE(禾本科)
早熟禾	Poa annua L.\nPOACEAE(禾本科)
台灣早熟禾	Poa formosae Ohwi\nPOACEAE(禾本科)
南湖大山早熟禾	Poa nankoensis Ohwi\nPOACEAE(禾本科)
基隆早熟禾	Poa sphondyodes Trin. var. kelungensis (Ohwi) Ohwi\nPOACEAE(禾本科)
高山早熟禾	Poa taiwanicola Ohwi\nPOACEAE(禾本科)
高砂早熟禾	Poa takasagomontana Ohwi\nPOACEAE(禾本科)
細桿早熟禾	Poa tenuicula Ohwi\nPOACEAE(禾本科)
金絲草	Pogonatherum crinitum (Thunb.) Kunth\nPOACEAE(禾本科)
金髮草	Pogonatherum paniceum (Lam.) Hack.\nPOACEAE(禾本科)
棒頭草	Polypogon fugax Nees ex Steud.\nPOACEAE(禾本科)
長芒棒頭草	Polypogon monspeliensis (L.) Desf.\nPOACEAE(禾本科)
大偽針茅	Pseudoraphis spinescens (R. Br.) Vickery\nPOACEAE(禾本科)
包籜箭竹	Pseudosasa usawai (Hayata.) Makino & Nemoto\nPOACEAE(禾本科)
紅毛草	Rhynchelytrum repens (Willd.) C. E. Hubb.\nPOACEAE(禾本科)
羅氏草	Rottboellia exaltata L. f.\nPOACEAE(禾本科)
甜根子草	Saccharum spontaneum L.\nPOACEAE(禾本科)
羅氏甜根子草	Saccharum spontaneum L. var. roxburghii Honda\nPOACEAE(禾本科)
囊穎草	Sacciolepis indica (L.) Chase\nPOACEAE(禾本科)
裂稃草	Schizachyrium brevifolium (Sw.) Nees ex Buse\nPOACEAE(禾本科)
尖葉裂稃草	Schizachyrium fragile (R. Br.) A. Camus var. shimadae (Ohwi) C. C. H\nPOACEAE(禾本科)
短枝黃金竹	Schizostachyum brachycladum (Kurz) Kurz\nPOACEAE(禾本科)
莎勒竹	Schizostachyum diffusum (Blanco) Merr.\nPOACEAE(禾本科)
法氏狗尾草	Setaria faberii R. A. W. Herrm.\nPOACEAE(禾本科)
莠狗尾草	Setaria geniculata P. Brauv.\nPOACEAE(禾本科)
御谷	Setaria glauca (L.) P. Beauv.\nPOACEAE(禾本科)
褐毛狗尾草	Setaria pallidefusca (Schumach.) Stapf & C. E. Hubb.\nPOACEAE(禾本科)
棕葉狗尾草	Setaria palmifolia (J. König) Stapf.\nPOACEAE(禾本科)
皺葉狗尾草	Setaria plicata (Lam.) T. Cooke\nPOACEAE(禾本科)
倒刺狗尾草	Setaria verticillata (L.) P. Beauv.\nPOACEAE(禾本科)
狗尾蟲	Setaria viridis (L.) P. Beauv.\nPOACEAE(禾本科)
台灣矢竹	Sinobambusa kunishii (Hayata.) Nakai\nPOACEAE(禾本科)
小光高梁	Sorghum nitidum (Vahl) Pers. f. aristatum C. E. Hubb.\nPOACEAE(禾本科)
桴藎	Sphaerocaryum malaccense (Trin.) Pilg.\nPOACEAE(禾本科)
濱刺草	Spinifex littoreus (Burm. f.) Merr.\nPOACEAE(禾本科)
台南大油芒	Spodiopogon tainanensis Hayata\nPOACEAE(禾本科)
雙梗大油芒	Spodiopogon tainanensis Hayata f. hayatai (Honda) C. C. Hsu\nPOACEAE(禾本科)
短葉大油芒	Spodiopogon tainanensis Hayata f. hogoensis (Hayata) C. C. Hsu\nPOACEAE(禾本科)
無脈大油芒	Spodiopogon tainanensis Hayata f. takeoi (Hayata) C.C. Hsu\nPOACEAE(禾本科)
韓氏鼠尾粟	Sporobolus hancei Rendle\nPOACEAE(禾本科)
鹽地鼠尾粟	Sporobolus virginicus (L.) Kunth\nPOACEAE(禾本科)
雙蕊鼠尾粟	Sporobolus indicus (L.) R. Br. var. flaccidus (R. & S.) Veldkamp\nPOACEAE(禾本科)
鼠尾粟	Sporobolus indicus (L.) R. Br. var. major (Buse) G. J. Baaijens\nPOACEAE(禾本科)
其昌假蛇尾草	Thaumastochloa chenii C. C. Hsu\nPOACEAE(禾本科)
假蛇尾草	Thaumastochloa cochinchinensis (Lour.) C. E. Hubb.\nPOACEAE(禾本科)
孔穎假蛇尾草	Thaumastochloa cochinchinensis (Lour.) C. E. Hubb. f. shimadana (Ohwi & Odash.) Ohwi\nPOACEAE(禾本科)
苞子草	Themeda caudata (Nees) A. Camus\nPOACEAE(禾本科)
松田氏苞子草	Themeda caudata (Nees) A. Camus var. matsudai Honda\nPOACEAE(禾本科)
日本苞子草	Themeda japonica (Willd.) C. Tanaka\nPOACEAE(禾本科)
芻蕾草	Thuarea involuta (G. Forst.) R. Br. ex Sm.\nPOACEAE(禾本科)
棕葉蘆	Thysanolaena latifolia (Roxb. ex Hornem.) Honda\nPOACEAE(禾本科)
中華草沙蠶	Tripogon chinensis Hack.\nPOACEAE(禾本科)
三毛草	Trisetum bifidum (Thunb.) Ohwi\nPOACEAE(禾本科)
台灣三毛草	Trisetum spicatum (L.) Rich. var. formosanum (Honda) Ohwi\nPOACEAE(禾本科)
鼠茅	Vulpia myuros (L.) C. C. Gmel.\nPOACEAE(禾本科)
玉山箭竹	Yushania niitakayamensis (Hayata) Keng f.\nPOACEAE(禾本科)
茭白筍	Zizania latifolia (Griseb.) Turcz. ex Stapf\nPOACEAE(禾本科)
結縷草	Zoysia japonica Steud.\nPOACEAE(禾本科)
馬尼拉芝	Zoysia matrella (L.) Merr.\nPOACEAE(禾本科)
中華結縷草	Zoysia sinica Hance\nPOACEAE(禾本科)
高麗芝	Zoysia tenuifolia Willd. ex Trin.\nPOACEAE(禾本科)
小穎溝稃草	Aniselytron agrostoides Merr.\nPOACEAE(禾本科)
溝稃草	Aniselytron treutleri (Kuntze) Sojak\nPOACEAE(禾本科)
鳳凰竹	Leleba floribunda (Büse) Nakai\nPOACEAE(禾本科)
班入鳳凰竹	Leleba floribunda (Büse) Nakai f. albovariegata (Makino) Nakai\nPOACEAE(禾本科)
紅鳳凰竹	Leleba floribunda (Büse) Nakai f. viridistriata (Makino ex Tsuboi) Nakai\nPOACEAE(禾本科)
蘇方竹	Leleba multiplex (Lour.) Nakai f. alphonsokarri (Satow) Nakai\nPOACEAE(禾本科)
絨毛草	Holcus lanatus L.\nPOACEAE(禾本科)
山棕	Arenga tremula (Blanco) Becc.\nPALMAE
台灣水藤	Calamus formosanus Becc.\nPALMAE
黃藤	Calamus quiquesetinervius Burret\nPALMAE
蘭嶼省藤	Calamus siphonospathus Mart. var. sublaevis Becc.\nPALMAE
蒲葵	Livistona chinensis R. Br. var. subglobosa (Mart.) Becc.\nPALMAE
台灣海棗	Phoenix hanceana Naudin\nPALMAE
山檳榔	Pinanga tashiroi Hayata\nPALMAE
蒟蒻薯	Tacca leontopetaloides (L.) Kuntze\nTACCACEAE
石菖蒲	Acorus gramineus Soland.\nARACEAE
大穗石菖蒲	Acorus gramineus Soland. var. macrospadiceus Yamam.\nARACEAE
台灣姑婆芋	Alocasia cucullata (Lour.) Schott\nARACEAE
姑婆芋	Alocasia odora (Lodd.) Spach.\nARACEAE
台灣魔芋	Amorphophallus henryi N. E. Br.\nARACEAE
密毛魔芋	Amorphophallus hirtus N. E. Br.\nARACEAE
東亞魔芋	Amorphophallus kiusianus (Makino) Makino\nARACEAE
疣柄魔芋	Amorphophallus paeoniifolius (Dennst.) Nicolson\nARACEAE
長行天南星	Arisaema consanguineum Schott\nARACEAE
台灣天南星	Arisaema formosanum (Hayata) Hayata\nARACEAE
毛筆天南星	Arisaema grapsospadix Hayata\nARACEAE
羽葉天南星	Arisaema heterophyllum Blume\nARACEAE
申跋	Arisaema ringens (Thunb.) Schott\nARACEAE
南仁山天南星	Arisaema nanjenense T. C. Huang & M. J. Wu\nARACEAE
宜蘭天南星	Arisaema ilanense J. C. Wang\nARACEAE
線花天南星	Arisaema matsudae Hayata\nARACEAE
蓬萊天南星	Arisaema taiwanense J. Murata\nARACEAE
短梗天南星	Arisaema taiwanense J. Murata var .brevipedunculatum J. Murata\nARACEAE
東台天南星	Arisaema thunbergii Blume subsp. autumnale J. C. Wan\n J. Murata & H. Ohashi\nARACEAE\n
台灣青芋	Colocasia formosana Hayata\nARACEAE
芋	Colocasia esculenta (L.) Schott\nARACEAE
台灣拎樹藤	Epipremnum formosanum Hayata\nARACEAE
拎樹藤	Epipremnum pinnatum (L.) Engl. ex Engl. & Kraus\nARACEAE
基隆扁葉芋	Homalomena kelungensis Hayata\nARACEAE
菲律賓扁葉芋	Homalomena philippinensis Engl. ex Engl. & Kraus\nARACEAE
細裂蔓綠絨	Philodendron angustisectum Engl.\nARACEAE
半夏	Pinellia ternata (Thunb.) Breit.\nARACEAE
大萍	Pistia stratiotes L.\nARACEAE
假柚葉藤	Pothoidium lobbianum Schott\nARACEAE
柚葉藤	Pothos chinensis (Raf.) Merr.\nARACEAE
台灣目賊芋	Remusatia vivipara (Lodd.) Schott\nARACEAE
針房藤	Rhaphidophora liukiuensis Hatusima\nARACEAE
香港針房藤	Rhaphidophora hongkongensis Schott\nARACEAE
土半夏	Typhonium blumei Nicolson & Sivad.\nARACEAE
金慈姑	Typhonium roxburghii Schott\nARACEAE
刺芋	Lasia spinosa (L.) Thwait.\nARACEAE
蘭嶼芋	Schismatoglottis kotoensis (Hayata) T. C. Huang\nARACEAE
品藻	Lemna trisulca L.\nLEMNACEAE
青萍	Lemna aequinoctialis Welw.\nLEMNACEAE
水萍	Spirodela polyrhiza (L.) Schleid.\nLEMNACEAE
紫萍	Spirodela punctata G. Mey.\nLEMNACEAE
無根萍	Wolffia arrhiza (L.) Wimm.\nLEMNACEAE
山露兜	Freycinetia formosana Hemsl.\nPANDANACEAE
林投	Pandanus odoratissimus L. f.\nPANDANACEAE
東亞黑三稜	Sparganium fallax Graebn.\nSPARGANIACEAE
水燭	Typha angustifolia L.\nTYPHACEAE
香蒲	Typha orientalis Presl\nTYPHACEAE
台灣芭蕉	Musa basjoo Siebold var. formosana (Warb.) S. S.Ying\nMUSACEAE
蘭嶼芭蕉	Musa insularimontana Hayata\nMUSACEAE
香蕉	Musa sapientum L.\nMUSACEAE
台灣月桃	Alpinia formosana K. Schum.\nZINGIBERACEAE
山月桃	Alpinia intermedia Gagn.\nZINGIBERACEAE
山薑	Alpinia japonica（Thunb.）Miq.\nZINGIBERACEAE
角板山月桃	Alpinia mesanthera Hayata\nZINGIBERACEAE
普來氏月桃	Alpinia pricei Hayata\nZINGIBERACEAE
阿里山月桃	Alpinia pricei Hayata var. sessiliflora (Kitam.) J. J. Yang & J. C. Wang\nZINGIBERACEAE
島田氏月桃	Alpinia shimadae Hayata\nZINGIBERACEAE
川上氏月桃	Alpinia shimadae Hayata var. kawakamii (Hayata) J. J.Yang & J. C.Wang\nZINGIBERACEAE
屯鹿月桃	Alpinia tonrokuensis Hayata\nZINGIBERACEAE
烏來月桃	Alpinia uraiensis Hayata\nZINGIBERACEAE
呂宋月桃	Alpinia flabellata Ridl.\nZINGIBERACEAE
高良薑	Alpinia galanga (L.) Sw.\nZINGIBERACEAE
屈尺月桃	Alpinia kusshakuensis Hayata\nZINGIBERACEAE
月桃	Alpinia zerumbet (Pers.) B. L. Burtt & R. M. Smith\nZINGIBERACEAE
絹毛鳶尾	Costus speciosus (Koenig) Smith\nZINGIBERACEAE
穗花山奈	Hedychium coronarium Koenig\nZINGIBERACEAE
三奈	Zingiber kawagoii Hayata\nZINGIBERACEAE
薑	Zingiber officinale Roscoe\nZINGIBERACEAE
薑花	Zingiber zerumbet (L.) Roscoe ex Smith\nZINGIBERACEAE
少葉薑	Zingiber oligophyllum K. Schum.\nZINGIBERACEAE
多穗薑	Zingiber pleiostachyum K. Schum.\nZINGIBERACEAE
蘭嶼法式薑	Vanoverberghia sasakiana H. Funak. & H. Ohashi\nZINGIBERACEAE
美人蕉	Canna indica L. var. orientalis (Roscoe) Hook. f.\nCANNACEAE
蘭嶼竹芋	Donax cannaeformis (Forst. f.) Rolfe\nMARANTHACEAE
焦蘭	Acampe rigida (Buch.-Ham ex J. E. Sm.) Hunt\nORCHIDACEAE(蘭科)
罈花蘭	Acanthephippium sylhetense Lindl.\nORCHIDACEAE(蘭科)
一葉罈花蘭	Acanthephippium striatum Lindl.\nORCHIDACEAE(蘭科)
台灣禾葉蘭	Agrostophyllum inocephalum (Schauer) Ames\nORCHIDACEAE(蘭科)
南湖雛蘭	Amitostigma alpestre Fukuy.\nORCHIDACEAE(蘭科)
小雛蘭	Amitostigma gracile (Bl.) Schltr.\nORCHIDACEAE(蘭科)
小兜蕊蘭	Androcorys pusillus (Ohwi & Fukuy.) Masam.\nORCHIDACEAE(蘭科)
台灣金線蓮	Anoectochilus formosanus Hayata\nORCHIDACEAE(蘭科)
恆春金線蓮	Anoectochilus koshunensis Hayata\nORCHIDACEAE(蘭科)
山林無葉蘭	Aphyllorchis montana Reichb. f.\nORCHIDACEAE(蘭科)
竹葉蘭	Appendicula reflexa Bl.\nORCHIDACEAE(蘭科)
長葉竹節蘭	Appendicula fenixii (Ames) Schltr.\nORCHIDACEAE(蘭科)
葦草蘭	Arundina graminifolia (D. Don) Hochr.\nORCHIDACEAE(蘭科)
鹿角蘭	Ascocentrum pumilum (Hayata) Schltr.\nORCHIDACEAE(蘭科)
台灣白及	Bletilla formosana (Hayata) Schltr.\nORCHIDACEAE(蘭科)
蘭嶼白及	Bletilla formosana (Hayata) Schltr. f. kotoensis (Hayata) T. P. Lin\nORCHIDACEAE(蘭科)
紋星蘭	Bulbophyllum affine Lindl.\nORCHIDACEAE(蘭科)
小豆蘭	Bulbophyllum aureolabellum T. P. Lin\nORCHIDACEAE(蘭科)
台灣豆蘭	Bulbophyllum formosanum (Rolfe) Seidenf.\nORCHIDACEAE(蘭科)
花蓮捲瓣蘭	Bulbophyllum hirundinis (Gagnep.) Seidenf.\nORCHIDACEAE(蘭科)
日本捲瓣蘭	Bulbophyllum japonicum (Makino) Makino\nORCHIDACEAE(蘭科)
烏來捲瓣蘭	Bulbophyllum macraei (Lindl.) Reichb.f.\nORCHIDACEAE(蘭科)
紫紋捲瓣蘭	Bulbophyllum melanoglossum Hayata\nORCHIDACEAE(蘭科)
毛藥捲瓣蘭	Bulbophyllum omerandrum Hayata\nORCHIDACEAE(蘭科)
黃萼捲瓣蘭	Bulbophyllum retusiusculum Reichb. f.\nORCHIDACEAE(蘭科)
白花豆蘭	Bulbophyllum riyanum Fukuy.\nORCHIDACEAE(蘭科)
紅心豆蘭	Bulbophyllum rubrolabellum T. P. Lin\nORCHIDACEAE(蘭科)
鸛冠蘭	Bulbophyllum setaceum T. P. Lin\nORCHIDACEAE(蘭科)
小葉豆蘭	Bulbophyllum tokioi Fukuy.\nORCHIDACEAE(蘭科)
傘花捲瓣蘭	Bulbophyllum umbellatum Lindl.\nORCHIDACEAE(蘭科)
白毛捲瓣蘭	Bulbophyllum albociliatum (T. S. Liu & H. J. Su) Nackejima\nORCHIDACEAE(蘭科)
狹萼豆蘭	Bulbophyllum drymoglossum Maxim. ex Okubo\nORCHIDACEAE(蘭科)
長軸捲瓣蘭	Bulbophyllum electrinum Seidenf.\nORCHIDACEAE(蘭科)
黃花捲瓣蘭	Bulbophyllum pectenveneris (Gagnep.) Seidenf.\nORCHIDACEAE(蘭科)
阿里山豆蘭	Bulbophyllum pectinatum Finet\nORCHIDACEAE(蘭科)
台灣捲瓣蘭	Bulbophyllum taiwanense (Fukuy.) Nackejima\nORCHIDACEAE(蘭科)
大花豆蘭	Bulbophyllum wightii Reichb. f.\nORCHIDACEAE(蘭科)
穗花捲瓣蘭	Bulbophyllum insulsum (Gagnep.) Seidenf.\nORCHIDACEAE(蘭科)
溪頭豆蘭	Bulbophyllum chitouense S. S. Ying\nORCHIDACEAE(蘭科)
屏東豆蘭	Bulbophyllum pingtungense S. S. Ying\nORCHIDACEAE(蘭科)
輻形根節蘭	Calanthe actinomorpha Fukuy.\nORCHIDACEAE(蘭科)
細點根節蘭	Calanthe alismifolia Lindl.\nORCHIDACEAE(蘭科)
阿里山根節蘭	Calanthe arisanensis Hayata\nORCHIDACEAE(蘭科)
翹距根節蘭	Calanthe aristulifera Reichb. f.\nORCHIDACEAE(蘭科)
竹葉根節蘭	Calanthe densiflora Lindl.\nORCHIDACEAE(蘭科)
細花根節蘭	Calanthe graciliflora Hayata\nORCHIDACEAE(蘭科)
連翹根節蘭	Calanthe lyroglossa Reichb.f.\nORCHIDACEAE(蘭科)
三板根節蘭	Calanthe tricarinata Lindl.\nORCHIDACEAE(蘭科)
白鶴蘭	Calanthe triplicata (Willemet) Ames\nORCHIDACEAE(蘭科)
羽唇根節蘭	Calanthe alpina Hook. f. ex Lindl.\nORCHIDACEAE(蘭科)
矮根節蘭	Calanthe angustifolia (Bl.) Lindl.\nORCHIDACEAE(蘭科)
尾唇根節蘭	Calanthe arcuata Rolfe\nORCHIDACEAE(蘭科)
棒距根節蘭	Calanthe clavata Lindl.\nORCHIDACEAE(蘭科)
長葉根節蘭	Calanthe davidii Franch.\nORCHIDACEAE(蘭科)
反捲根節蘭	Calanthe puberula Lindl.\nORCHIDACEAE(蘭科)
黃根節蘭	Calanthe sieboldii Decne. ex Regel\nORCHIDACEAE(蘭科)
台灣根節蘭	Calanthe speciosa (Bl.) Lindl.\nORCHIDACEAE(蘭科)
長距根節蘭	Calanthe sylvatica (Thouars) Lindl.\nORCHIDACEAE(蘭科)
長距白鶴蘭	Calanthe × dominii Lindl.\nORCHIDACEAE(蘭科)
高山頭蕊蘭	Cephalanthera alpicola Fukuy.\nORCHIDACEAE(蘭科)
白花肖頭蕊蘭	Cephalantheropsis calanthoides (Ames) T.S. Liu & H.J. Su\nORCHIDACEAE(蘭科)
綠花肖頭蕊蘭	Cephalantheropsis gracilis (Lindl.) S. Y. Hu\nORCHIDACEAE(蘭科)
中國指柱蘭	Cheirostylis chinensis Rolfe\nORCHIDACEAE(蘭科)
羽唇指柱蘭	Cheirostylis octodactyla Ames\nORCHIDACEAE(蘭科)
阿里山指柱蘭	Cheirostylis takeoi (Hayata) Schltr.\nORCHIDACEAE(蘭科)
雉尾指柱蘭	Cheirostylis cochinchinensis Bl.\nORCHIDACEAE(蘭科)
斑葉指柱蘭	Cheirostylis clibborndyeri S. Y. Hu & Barretto\nORCHIDACEAE(蘭科)
琉球指柱蘭	Cheirostylis liukiuensis Masam.\nORCHIDACEAE(蘭科)
和社指柱蘭	Cheirostylis tortilacinia C. S. Leou\nORCHIDACEAE(蘭科)
大蜘蛛蘭	Chiloschista segawae (Masam.) Masam. & Fukuy.\nORCHIDACEAE(蘭科)
台灣黃唇蘭	Chrysoglossum ornatum Bl.\nORCHIDACEAE(蘭科)
虎紋蘭	Cleisostoma paniculatum (Ker Gawl.) Garay\nORCHIDACEAE(蘭科)
烏來閉口蘭	Cleisostoma uraiensis (Hayata) Garay & Sweet\nORCHIDACEAE(蘭科)
綠花凹舌蘭	Coeloglossum viride (L.) Hartm.\nORCHIDACEAE(蘭科)
台灣柯麗白蘭	Collabium formosanum Hayata\nORCHIDACEAE(蘭科)
柯麗白蘭	Collabium chinense (Rolfe) T. Tang & F. T. Wang\nORCHIDACEAE(蘭科)
紅盔蘭	Corybas taiwanensis T. P. Lin & S. Y. Leu\nORCHIDACEAE(蘭科)
辛氏盔蘭	Corybas sinii T. Tang & F. T. Wang\nORCHIDACEAE(蘭科)
馬鞭蘭	Cremastra appendiculata (D. Don) Makino\nORCHIDACEAE(蘭科)
滿綠隱柱蘭	Cryptostylis arachnites (Bl.) Hassk.\nORCHIDACEAE(蘭科)
蓬萊隱柱蘭	Cryptostylis taiwaniana Masam.\nORCHIDACEAE(蘭科)
鳳蘭	Cymbidium dayanum Reichb. f.\nORCHIDACEAE(蘭科)
建蘭	Cymbidium ensifolium (L.) Sw.\nORCHIDACEAE(蘭科)
九華蘭	Cymbidium faberi Rolfe\nORCHIDACEAE(蘭科)
春蘭	Cymbidium goeringii (Reichb. f.) Reichb. f.\nORCHIDACEAE(蘭科)
細葉春蘭	Cymbidium goeringii (Reichb. f.) Reichb. f. var. serratum (Schltr.) W. S. Wu & S. C. Chen\nORCHIDACEAE(蘭科)
菅草蘭	Cymbidium goeringii (Reichb. f.) Reichb. f. var. tortisepalum (Fukuy.) W. S. Wu & S. C. Chen\nORCHIDACEAE(蘭科)
寒蘭	Cymbidium kanran Makino\nORCHIDACEAE(蘭科)
竹柏蘭	Cymbidium lancifolium Hook. f.\nORCHIDACEAE(蘭科)
綠花竹柏蘭	Cymbidium lancifolium Hook. f. var. aspidistrifolium (Fukuy.) S. S. Ying\nORCHIDACEAE(蘭科)
大竹柏蘭	Cymbidium lancifolium Hook. f. var. syunitianum (Fukuy.) S. S. Ying\nORCHIDACEAE(蘭科)
報歲蘭	Cymbidium sinense (Jacks. ex Andr.) Willd.\nORCHIDACEAE(蘭科)
虎頭蘭	Cymbidium hookeriarum Rchb. f.\nORCHIDACEAE(蘭科)
香莎草蘭	Cymbidium cochleare Lindl.\nORCHIDACEAE(蘭科)
金稜邊蘭	Cymbidium floribundum Lindl.\nORCHIDACEAE(蘭科)
小喜普鞋蘭	Cypripedium debile Reichb. f.\nORCHIDACEAE(蘭科)
奇萊喜普鞋蘭	Cypripedium macranthum Sw.\nORCHIDACEAE(蘭科)
台灣喜普鞋蘭	Cypripedium formosanum Hayata\nORCHIDACEAE(蘭科)
寶島喜普鞋蘭	Cypripedium segawai Masam.\nORCHIDACEAE(蘭科)
長距石斛	Dendrobium chameleon Ames\nORCHIDACEAE(蘭科)
鴿石斛	Dendrobium crumenatum Sw.\nORCHIDACEAE(蘭科)
新竹石斛	Dendrobium falconeri Hook.\nORCHIDACEAE(蘭科)
雙花石斛	Dendrobium furcatopedicellatum Hayata\nORCHIDACEAE(蘭科)
哥氏石斛	Dendrobium goldschmidtianum F. Kranzl.\nORCHIDACEAE(蘭科)
細莖石斛	Dendrobium leptocladum Hayata\nORCHIDACEAE(蘭科)
櫻石斛	Dendrobium linawianum Reichb. f.\nORCHIDACEAE(蘭科)
石斛	Dendrobium moniliforme (L.) Sw.\nORCHIDACEAE(蘭科)
台灣石斛	Dendrobium nobile Lindl. var. formosanum Reichb. f.\nORCHIDACEAE(蘭科)
小雙花石斛	Dendrobium somai Hayata\nORCHIDACEAE(蘭科)
燕子石斛	Dendrobium equitans F. Kranzl.\nORCHIDACEAE(蘭科)
黃石斛	Dendrobium catenatum Lindl.\nORCHIDACEAE(蘭科)
金草	Dendrobium chryseum Rolfe\nORCHIDACEAE(蘭科)
黃穗蘭	Dendrochilum uncatum Reichb.\nORCHIDACEAE(蘭科)
吊鐘鬼蘭	Didymoplexis pallens Griff.\nORCHIDACEAE(蘭科)
倒吊蘭	Diploprora championii (Lindl.) Hook. f.\nORCHIDACEAE(蘭科)
雙袋蘭	Disperis siamensis Rolfe ex Downie\nORCHIDACEAE(蘭科)
台灣鈴蘭	Epipactis helleborine (L.) Crantz subsp. ohwii (Fukuy.) H. J. Su\nORCHIDACEAE(蘭科)
高士佛上鬚蘭	Epipogium roseum (Don) Lindl.\nORCHIDACEAE(蘭科)
日本上鬚蘭	Epipogium japonicum Makino\nORCHIDACEAE(蘭科)
無葉上鬚蘭	Epipogium aphyllum (F. W. Schmidt) Sw.\nORCHIDACEAE(蘭科)
小腳筒蘭	Eria amica Reichb. f.\nORCHIDACEAE(蘭科)
黃絨蘭	Eria corneri Reichb. f.\nORCHIDACEAE(蘭科)
台灣絨蘭	Eria formosana Rolfe\nORCHIDACEAE(蘭科)
大腳筒蘭	Eria ovata Lindl.\nORCHIDACEAE(蘭科)
連珠絨蘭	Eria japonica Maxim.\nORCHIDACEAE(蘭科)
細花絨蘭	Eria robusta (Bl.) Lindl.\nORCHIDACEAE(蘭科)
大葉絨蘭	Eria javanica (Sw.) Bl.\nORCHIDACEAE(蘭科)
樹絨蘭	Eria tomentosiflora Hayata\nORCHIDACEAE(蘭科)
闊葉細筆蘭	Erythrodes latifolia Bl.\nORCHIDACEAE(蘭科)
小唇蘭	Erythrodes blumei (Lindl.) Schltr.\nORCHIDACEAE(蘭科)
雙板芋蘭	Eulophia bicarinata (Lindl.) Hook. f.\nORCHIDACEAE(蘭科)
禾草芋蘭	Eulophia graminea Lindl.\nORCHIDACEAE(蘭科)
紫芋蘭	Eulophia dentata Ames\nORCHIDACEAE(蘭科)
山芋蘭	Eulophia zollingeri (Reichb. f.) J. J. Sm.\nORCHIDACEAE(蘭科)
短裂芋蘭	Eulophia brachycentra Hayata\nORCHIDACEAE(蘭科)
南洋芋蘭	Eulophia pulchra (Thouars) Lindl.\nORCHIDACEAE(蘭科)
寶島芋藍	Eulophia bicallosa (D. Don) Hunt & Summerh.\nORCHIDACEAE(蘭科)
小囊山珊瑚	Galeola falconeri Hook. f.\nORCHIDACEAE(蘭科)
山珊瑚	Galeola lindleyana (Hook. f. & Thoms.) Reichb. f.\nORCHIDACEAE(蘭科)
台灣松蘭	Gastrochilus formosanus (Hayata) Hayata\nORCHIDACEAE(蘭科)
紅斑松蘭	Gastrochilus fuscopunctatus (Hayata) Hayata\nORCHIDACEAE(蘭科)
黃松蘭	Gastrochilus japonicus (Makino) Schltr.\nORCHIDACEAE(蘭科)
寬唇松蘭	Gastrochilus matsudai Hayata\nORCHIDACEAE(蘭科)
